method,dataset,profile_percentage,dispersion,SFD,kl_div_pool_profile,fair_representation,pNDKL,NDKL,avg_sat_10,avg_sat_20,avg_sat_30,avg_sat_40,avg_sat_50,result,pool_grp_cnts,profile_grp_cnts,consensusranking_grp_cnts
EPIRA,synthetic-0,0.4,0.0,0.06674887147400997,0.0,0.37499999999999994,0.16681065122175437,0.16681065122175437,0.03,0.045,0.07,0.1,0.13,"['62', '75', '30', '92', '8', '0', '94', '1', '11', '67', '33', '32', '3', '89', '96', '26', '19', '53', '20', '7']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 4, 'grp_3': 3, 'grp_4': 5}"
RAPF,synthetic-0,0.4,0.0,0.0168631393289738,0.0,0.6238095238095238,0.027061248188725618,0.027061248188725618,0.027000000000000003,0.063,0.0905,0.1085,0.12800000000000003,"['40', '81', '67', '8', '9', '59', '83', '63', '11', '39', '92', '61', '52', '0', '37', '96', '53', '24', '65', '46']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 4, 'grp_3': 7, 'grp_4': 4}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.4,0.0,0.0,0.0,1.0,0.21821854327856013,0.21821854327856013,0.025,0.04,0.065,0.1,0.13,"['8', '75', '30', '92', '0', '1', '94', '11', '62', '67', '33', '32', '3', '89', '96', '26', '53', '60', '66', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.065,0.09,0.11,0.13,"['56', '32', '97', '13', '54', '26', '96', '6', '55', '46', '89', '19', '65', '38', '84', '4', '74', '33', '80', '3']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,0.6,0.0,0.10644008657533766,0.0,0.25,0.4469646676644266,0.4469646676644266,0.023333333333333334,0.04,0.05999999999999999,0.07666666666666665,0.1,"['56', '54', '10', '13', '17', '19', '32', '33', '4', '50', '58', '6', '65', '67', '71', '74', '83', '88', '89', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 2, 'grp_3': 8, 'grp_4': 4}"
MC4,synthetic-0,0.6,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.013333333333333332,0.04333333333333333,0.05333333333333334,0.07,0.09666666666666668,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,0.6,0.0,0.0201355053862933,0.0,0.6666666666666667,0.4344687026523483,0.4344687026523483,0.03,0.056666666666666664,0.08333333333333331,0.10333333333333332,0.12999999999999998,"['92', '94', '8', '75', '36', '19', '7', '88', '30', '26', '24', '89', '53', '1', '62', '81', '66', '0', '32', '60']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 4, 'grp_4': 6}"
EPIRA,synthetic-0,0.6,0.0,0.0201355053862933,0.0,0.6666666666666667,0.05949249431665299,0.05949249431665299,0.013333333333333332,0.03666666666666667,0.07666666666666666,0.10333333333333332,0.13,"['53', '92', '8', '36', '94', '19', '7', '75', '30', '26', '24', '88', '89', '1', '62', '81', '66', '0', '32', '60']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 4, 'grp_4': 6}"
RAPF,synthetic-0,0.6,0.0,0.010580916255904621,0.0,0.7666666666666668,0.0764097641891823,0.0764097641891823,0.02533333333333333,0.055999999999999994,0.088,0.10733333333333332,0.12966666666666665,"['67', '81', '8', '59', '40', '9', '39', '11', '83', '63', '0', '61', '92', '37', '96', '52', '24', '15', '46', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 5, 'grp_3': 5, 'grp_4': 4}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.6,0.0,0.0,0.0,1.0,0.42457978342615665,0.42457978342615665,0.03,0.056666666666666664,0.08333333333333331,0.10333333333333332,0.12999999999999998,"['92', '94', '8', '75', '36', '19', '7', '88', '30', '26', '24', '89', '53', '1', '62', '66', '32', '60', '29', '61']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.026666666666666665,0.07,0.09,0.1033333333333333,0.12666666666666665,"['56', '32', '3', '94', '54', '26', '4', '80', '55', '46', '0', '97', '60', '38', '11', '75', '71', '33', '13', '89']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,0.8,0.0,0.09927273553563415,0.0,0.28571428571428575,0.44835090889124835,0.44835090889124835,0.0175,0.0325,0.0625,0.085,0.0975,"['56', '54', '0', '10', '13', '19', '2', '32', '4', '46', '50', '62', '67', '71', '74', '78', '8', '80', '96', '97']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 2, 'grp_3': 7, 'grp_4': 4}"
MC4,synthetic-0,0.8,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.0175,0.04,0.0575,0.0825,0.1075,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,0.8,0.0,0.13751375569938581,0.0,0.25,0.5150864931335067,0.5150864931335067,0.0375,0.055,0.0775,0.095,0.12,"['94', '75', '92', '8', '36', '7', '19', '12', '88', '89', '24', '77', '26', '30', '81', '4', '1', '62', '23', '66']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 3, 'grp_3': 2, 'grp_4': 7}"
EPIRA,synthetic-0,0.8,0.0,0.13751375569938581,0.0,0.25,0.12014557638615904,0.12014557638615904,0.0325,0.0625,0.085,0.1025,0.125,"['62', '36', '94', '8', '75', '7', '19', '12', '92', '88', '24', '89', '26', '30', '77', '4', '1', '81', '23', '66']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 3, 'grp_3': 2, 'grp_4': 7}"
RAPF,synthetic-0,0.8,0.0,0.01006775269314665,0.0,0.7333333333333334,0.08313230578326665,0.08313230578326665,0.026000000000000002,0.05675,0.08349999999999999,0.10625,0.12874999999999998,"['81', '8', '67', '40', '83', '9', '59', '39', '11', '92', '63', '37', '0', '96', '61', '46', '24', '93', '52', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.8,0.0,0.0,0.0,1.0,0.4360544757527247,0.4360544757527247,0.0375,0.055,0.0775,0.095,0.12,"['94', '75', '92', '8', '36', '7', '19', '12', '88', '89', '24', '26', '30', '62', '66', '38', '32', '53', '61', '60']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.04,0.055,0.0775,0.0875,"['56', '32', '10', '75', '54', '26', '11', '80', '71', '46', '8', '83', '67', '38', '17', '94', '58', '33', '0', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,1.0,0.0,0.13751375569938584,0.0,0.25,0.48088521517634014,0.48088521517634014,0.020000000000000004,0.036000000000000004,0.066,0.07600000000000001,0.096,"['56', '54', '0', '10', '11', '13', '17', '33', '38', '55', '58', '6', '62', '67', '71', '74', '8', '80', '89', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 2, 'grp_3': 8, 'grp_4': 3}"
MC4,synthetic-0,1.0,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.014000000000000002,0.033999999999999996,0.05,0.07600000000000001,0.1,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,1.0,0.0,0.18066602602068382,0.0,0.125,0.4787731008322467,0.4787731008322467,0.036000000000000004,0.05800000000000001,0.08199999999999999,0.106,0.132,"['94', '75', '92', '8', '7', '36', '89', '19', '77', '88', '12', '30', '4', '24', '26', '62', '81', '1', '79', '32']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 4, 'grp_3': 1, 'grp_4': 8}"
EPIRA,synthetic-0,1.0,0.0,0.18066602602068382,0.0,0.125,0.10095140781000213,0.10095140781000213,0.030000000000000006,0.062,0.08600000000000002,0.11000000000000001,0.134,"['62', '36', '94', '8', '7', '75', '92', '19', '89', '77', '12', '30', '4', '24', '26', '88', '81', '1', '79', '32']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 4, 'grp_3': 1, 'grp_4': 8}"
RAPF,synthetic-0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.025000000000000005,0.0504,0.075,0.09759999999999999,0.12000000000000002,"['81', '8', '67', '40', '9', '83', '59', '39', '11', '92', '63', '37', '0', '96', '61', '46', '24', '93', '52', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,1.0,0.0,0.0,0.0,1.0,0.4360544757527247,0.4360544757527247,0.036000000000000004,0.05800000000000001,0.08199999999999999,0.106,0.124,"['94', '75', '92', '8', '7', '36', '89', '19', '77', '12', '30', '4', '26', '62', '32', '66', '53', '38', '60', '56']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020000000000000004,0.046000000000000006,0.066,0.08,0.09599999999999997,"['56', '32', '97', '10', '54', '26', '80', '13', '67', '46', '78', '4', '71', '38', '94', '19', '74', '33', '89', '3']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0.2,0.2,0.2,0.7388447049233102,0.620844853331887,0.0,1.0148201466818578,0.37577098281743815,0.38,0.6,0.71,0.79,0.79,"['0', '1', '4', '3', '7', '6', '2', '42', '37', '26', '32', '25', '24', '18', '14', '11', '34', '27', '23', '22']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 13, 'grp_2': 7}"
MC4,synthetic-0.2,0.2,0.2,1.0612082778324712,0.620844853331887,0.0,1.3436374364917416,0.6582483096444607,0.2,0.35,0.36,0.44,0.75,"['2', '4', '13', '1', '14', '18', '7', '8', '0', '5', '3', '15', '10', '19', '12', '20', '37', '11', '23', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 18, 'grp_2': 2}"
BORDA,synthetic-0.2,0.2,0.2,1.386289780208865,0.620844853331887,0.0,1.386289780208865,0.0,0.38,0.53,0.75,0.82,0.91,"['0', '1', '5', '2', '4', '3', '6', '8', '7', '9', '12', '11', '10', '14', '13', '17', '15', '16', '20', '19']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}",{'grp_1': 20}
EPIRA,synthetic-0.2,0.2,0.2,0.8681064446943033,0.620844853331887,0.0,0.752615424412989,0.48631867703729387,0.24,0.38,0.53,0.75,0.8,"['28', '0', '1', '25', '5', '2', '4', '3', '6', '61', '8', '7', '9', '12', '11', '10', '14', '13', '17', '15']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 17, 'grp_2': 2, 'grp_3': 1}"
RAPF,synthetic-0.2,0.2,0.2,1.209359795000441,0.620844853331887,0.0,1.3382384331952857,0.4440981160972127,0.24,0.39899999999999997,0.516,0.621,0.7420000000000001,"['3', '5', '4', '18', '7', '22', '0', '10', '14', '28', '1', '13', '8', '2', '19', '17', '6', '15', '9', '30']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 18, 'grp_2': 2}"
BALANCED-COMMITTEE-ELECTION,synthetic-0.2,0.2,0.2,0.9918949026982464,0.620844853331887,0.0,1.3345431697346137,1.0624725887491935,0.38,0.53,0.75,0.82,0.91,"['0', '1', '5', '2', '4', '3', '6', '8', '7', '9', '12', '11', '10', '14', '13', '17', '15', '16', '28', '61']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 18, 'grp_2': 1, 'grp_3': 1}"
PREFAIR,synthetic-0.2,0.2,0.2,0.0,0.620844853331887,1.0,0.0,0.0,0.24,0.24,0.38,0.38,0.5,"['0', '92', '43', '55', '1', '93', '42', '60', '4', '77', '29', '71', '3', '98', '36', '69', '7', '89', '34', '54']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0.2,0.4,0.2,0.698152538670387,0.2804603962746052,0.0,1.0000994762985673,0.36568612160998354,0.285,0.475,0.605,0.7,0.7,"['0', '1', '4', '3', '7', '6', '2', '42', '37', '30', '38', '34', '32', '31', '29', '27', '26', '25', '24', '23']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 9, 'grp_2': 11}"
MC4,synthetic-0.2,0.4,0.2,1.0612082778324712,0.2804603962746052,0.0,1.3436374364917416,0.6582483096444607,0.2,0.35,0.37,0.44,0.69,"['2', '4', '13', '1', '14', '18', '7', '8', '0', '5', '3', '15', '10', '19', '12', '20', '37', '11', '23', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 18, 'grp_2': 2}"
BORDA,synthetic-0.2,0.4,0.2,1.386289780208865,0.2804603962746052,0.0,1.386289780208865,0.0,0.285,0.48,0.67,0.8,0.855,"['0', '1', '5', '2', '4', '3', '6', '7', '8', '9', '11', '12', '10', '13', '14', '17', '16', '20', '18', '15']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}",{'grp_1': 20}
EPIRA,synthetic-0.2,0.4,0.2,0.6779474862123206,0.2804603962746052,0.0625,0.5056273375692005,0.5056273375692005,0.005,0.16,0.395,0.595,0.76,"['52', '27', '28', '0', '1', '5', '2', '4', '3', '6', '7', '8', '76', '9', '11', '12', '10', '13', '14', '17']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 16, 'grp_2': 2, 'grp_3': 1, 'grp_4': 1}"
RAPF,synthetic-0.2,0.4,0.2,0.7337317003981589,0.2804603962746052,0.0,0.7394570907776679,0.15660399596550018,0.1715,0.25,0.31399999999999995,0.4215,0.515,"['28', '3', '5', '4', '30', '26', '18', '7', '27', '22', '0', '10', '39', '14', '47', '1', '13', '31', '8', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 12, 'grp_2': 8}"
BALANCED-COMMITTEE-ELECTION,synthetic-0.2,0.4,0.2,0.7987930695600785,0.2804603962746052,0.05882352941176471,1.309207228749945,1.309207228749945,0.285,0.48,0.67,0.8,0.855,"['0', '1', '5', '2', '4', '3', '6', '7', '8', '9', '11', '12', '10', '13', '14', '17', '16', '27', '52', '76']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 17, 'grp_2': 1, 'grp_3': 1, 'grp_4': 1}"
PREFAIR,synthetic-0.2,0.4,0.2,0.0,0.2804603962746052,1.0,0.0,0.0,0.15,0.15,0.285,0.285,0.39,"['0', '63', '49', '91', '1', '66', '40', '88', '4', '59', '47', '92', '3', '58', '46', '76', '7', '56', '45', '81']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0.2,0.6,0.2,0.698152538670387,0.14293330967859103,0.0,1.0000994762985673,0.36568612160998354,0.22666666666666666,0.3933333333333333,0.5166666666666666,0.6100000000000001,0.6133333333333334,"['0', '1', '4', '3', '7', '6', '2', '42', '37', '30', '38', '34', '32', '31', '29', '27', '26', '25', '24', '23']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 4}","{'grp_1': 9, 'grp_2': 11}"
MC4,synthetic-0.2,0.6,0.2,1.0612082778324712,0.14293330967859103,0.0,1.3436374364917416,0.6582483096444607,0.17666666666666664,0.31,0.35,0.45,0.6566666666666666,"['2', '4', '13', '1', '14', '18', '7', '8', '0', '5', '3', '15', '10', '19', '12', '20', '37', '11', '23', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 4}","{'grp_1': 18, 'grp_2': 2}"
