method,dataset,profile_percentage,dispersion,SFD,kl_div_pool_profile,fair_representation,pNDKL,NDKL,avg_sat_10,avg_sat_20,avg_sat_30,avg_sat_40,avg_sat_50,result,pool_grp_cnts,profile_grp_cnts,consensusranking_grp_cnts
EPIRA,synthetic-0,0.4,0.0,0.06674887147400997,0.0,0.37499999999999994,0.22697633413416896,0.22697633413416896,0.025,0.04,0.065,0.1,0.13,"['8', '75', '30', '92', '0', '1', '94', '11', '62', '67', '33', '32', '3', '89', '96', '26', '19', '53', '20', '7']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 4, 'grp_3': 3, 'grp_4': 5}"
RAPF,synthetic-0,0.4,0.0,0.019133271648982108,0.0,0.6761904761904762,0.07598203163169963,0.07598203163169963,0.025,0.053000000000000005,0.07400000000000001,0.0885,0.10500000000000001,"['89', '53', '33', '16', '87', '57', '4', '34', '15', '92', '51', '43', '14', '99', '65', '28', '12', '88', '73', '32']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.4,0.0,0.0,0.0,1.0,0.21821854327856013,0.21821854327856013,0.025,0.04,0.065,0.1,0.13,"['8', '75', '30', '92', '0', '1', '94', '11', '62', '67', '33', '32', '3', '89', '96', '26', '53', '60', '66', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.065,0.09,0.11,0.13,"['56', '32', '97', '13', '54', '26', '96', '6', '55', '46', '89', '19', '65', '38', '84', '4', '74', '33', '80', '3']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,0.6,0.0,0.10644008657533766,0.0,0.25,0.4469646676644266,0.4469646676644266,0.023333333333333334,0.04,0.05999999999999999,0.07666666666666665,0.1,"['56', '54', '10', '13', '17', '19', '32', '33', '4', '50', '58', '6', '65', '67', '71', '74', '83', '88', '89', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 2, 'grp_3': 8, 'grp_4': 4}"
MC4,synthetic-0,0.6,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.013333333333333332,0.04333333333333333,0.05333333333333334,0.07,0.09666666666666668,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,0.6,0.0,0.0201355053862933,0.0,0.6666666666666667,0.4344687026523483,0.4344687026523483,0.03,0.056666666666666664,0.08333333333333331,0.10333333333333332,0.12999999999999998,"['92', '94', '8', '75', '36', '19', '7', '88', '30', '26', '24', '89', '53', '1', '62', '81', '66', '0', '32', '60']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 4, 'grp_4': 6}"
EPIRA,synthetic-0,0.6,0.0,0.0201355053862933,0.0,0.6666666666666667,0.177035954287111,0.177035954287111,0.013333333333333332,0.04999999999999999,0.07666666666666666,0.10333333333333332,0.13,"['92', '53', '8', '94', '36', '19', '7', '75', '30', '26', '24', '88', '89', '1', '62', '81', '66', '0', '32', '60']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 6, 'grp_2': 4, 'grp_3': 4, 'grp_4': 6}"
RAPF,synthetic-0,0.6,0.0,0.010324334474525635,0.0,0.7500000000000001,0.08788352124439636,0.08788352124439636,0.024,0.049,0.07066666666666666,0.091,0.10899999999999999,"['78', '55', '34', '19', '24', '60', '33', '12', '84', '97', '69', '35', '43', '21', '61', '1', '46', '82', '72', '98']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.6,0.0,0.0,0.0,1.0,0.42457978342615665,0.42457978342615665,0.03,0.056666666666666664,0.08333333333333331,0.10333333333333332,0.12999999999999998,"['92', '94', '8', '75', '36', '19', '7', '88', '30', '26', '24', '89', '53', '1', '62', '66', '32', '60', '29', '61']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.026666666666666665,0.07,0.09,0.1033333333333333,0.12666666666666665,"['56', '32', '3', '94', '54', '26', '4', '80', '55', '46', '0', '97', '60', '38', '11', '75', '71', '33', '13', '89']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,0.8,0.0,0.09927273553563415,0.0,0.28571428571428575,0.44835090889124835,0.44835090889124835,0.0175,0.0325,0.0625,0.085,0.0975,"['56', '54', '0', '10', '13', '19', '2', '32', '4', '46', '50', '62', '67', '71', '74', '78', '8', '80', '96', '97']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 2, 'grp_3': 7, 'grp_4': 4}"
MC4,synthetic-0,0.8,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.0175,0.04,0.0575,0.0825,0.1075,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,0.8,0.0,0.13751375569938581,0.0,0.25,0.5150864931335067,0.5150864931335067,0.0375,0.055,0.0775,0.095,0.12,"['94', '75', '92', '8', '36', '7', '19', '12', '88', '89', '24', '77', '26', '30', '81', '4', '1', '62', '23', '66']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 3, 'grp_3': 2, 'grp_4': 7}"
EPIRA,synthetic-0,0.8,0.0,0.13751375569938581,0.0,0.25,0.2329741770417546,0.2329741770417546,0.03,0.0625,0.0875,0.11,0.135,"['94', '8', '75', '62', '36', '92', '7', '19', '88', '89', '12', '77', '26', '30', '81', '24', '4', '1', '23', '66']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 8, 'grp_2': 3, 'grp_3': 2, 'grp_4': 7}"
RAPF,synthetic-0,0.8,0.0,0.007047426885202655,0.0,0.7666666666666667,0.051474226586076796,0.051474226586076796,0.026500000000000003,0.0505,0.07875,0.10350000000000001,0.12575,"['4', '85', '53', '47', '20', '90', '71', '40', '8', '94', '51', '28', '23', '79', '45', '54', '16', '81', '68', '39']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,0.8,0.0,0.0,0.0,1.0,0.4360544757527247,0.4360544757527247,0.0375,0.055,0.0775,0.095,0.12,"['94', '75', '92', '8', '36', '7', '19', '12', '88', '89', '24', '26', '30', '62', '66', '38', '32', '53', '61', '60']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.04,0.055,0.0775,0.0875,"['56', '32', '10', '75', '54', '26', '11', '80', '71', '46', '8', '83', '67', '38', '17', '94', '58', '33', '0', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0,1.0,0.0,0.13751375569938584,0.0,0.25,0.48088521517634014,0.48088521517634014,0.020000000000000004,0.036000000000000004,0.066,0.07600000000000001,0.096,"['56', '54', '0', '10', '11', '13', '17', '33', '38', '55', '58', '6', '62', '67', '71', '74', '8', '80', '89', '96']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 2, 'grp_3': 8, 'grp_4': 3}"
MC4,synthetic-0,1.0,0.0,0.028507851310258306,0.0,0.5714285714285715,0.05518217510854444,0.05518217510854444,0.014000000000000002,0.033999999999999996,0.05,0.07600000000000001,0.1,"['33', '53', '89', '16', '87', '92', '57', '51', '4', '15', '14', '65', '34', '73', '43', '67', '99', '28', '70', '88']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 4, 'grp_2': 4, 'grp_3': 7, 'grp_4': 5}"
BORDA,synthetic-0,1.0,0.0,0.18066602602068382,0.0,0.125,0.4787731008322467,0.4787731008322467,0.036000000000000004,0.05800000000000001,0.08199999999999999,0.106,0.132,"['94', '75', '92', '8', '7', '36', '89', '19', '77', '88', '12', '30', '4', '24', '26', '62', '81', '1', '79', '32']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 4, 'grp_3': 1, 'grp_4': 8}"
EPIRA,synthetic-0,1.0,0.0,0.18066602602068382,0.0,0.125,0.23400003604809722,0.23400003604809722,0.036000000000000004,0.064,0.08199999999999999,0.10600000000000001,0.132,"['94', '75', '36', '8', '7', '92', '89', '62', '77', '88', '19', '30', '12', '4', '26', '24', '81', '1', '79', '32']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 7, 'grp_2': 4, 'grp_3': 1, 'grp_4': 8}"
RAPF,synthetic-0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022200000000000004,0.0458,0.07020000000000001,0.093,0.1146,"['78', '55', '45', '20', '13', '79', '57', '31', '97', '7', '51', '36', '16', '77', '72', '38', '17', '86', '67', '47']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
BALANCED-COMMITTEE-ELECTION,synthetic-0,1.0,0.0,0.0,0.0,1.0,0.4360544757527247,0.4360544757527247,0.036000000000000004,0.05800000000000001,0.08199999999999999,0.106,0.124,"['94', '75', '92', '8', '7', '36', '89', '19', '77', '12', '30', '4', '26', '62', '32', '66', '53', '38', '60', '56']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
PREFAIR,synthetic-0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020000000000000004,0.046000000000000006,0.066,0.08,0.09599999999999997,"['56', '32', '97', '10', '54', '26', '80', '13', '67', '46', '78', '4', '71', '38', '94', '19', '74', '33', '89', '3']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0.2,0.2,0.2,0.698152538670387,0.620844853331887,0.0,1.156640417058416,0.5013632830373066,0.38,0.6,0.71,0.8,0.8,"['0', '1', '4', '3', '7', '6', '2', '13', '22', '23', '24', '25', '26', '27', '28', '32', '34', '37', '38', '42']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 11, 'grp_2': 9}"
MC4,synthetic-0.2,0.2,0.2,1.0612082778324712,0.620844853331887,0.0,1.3436374364917416,0.6582483096444607,0.2,0.35,0.36,0.44,0.75,"['2', '4', '13', '1', '14', '18', '7', '8', '0', '5', '3', '15', '10', '19', '12', '20', '37', '11', '23', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 18, 'grp_2': 2}"
BORDA,synthetic-0.2,0.2,0.2,1.386289780208865,0.620844853331887,0.0,1.386289780208865,0.0,0.38,0.53,0.75,0.82,0.91,"['0', '1', '5', '2', '4', '3', '6', '8', '7', '9', '12', '11', '10', '14', '13', '17', '15', '16', '20', '19']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}",{'grp_1': 20}
EPIRA,synthetic-0.2,0.2,0.2,1.386289780208865,0.620844853331887,0.0,1.386289780208865,0.0,0.38,0.53,0.75,0.82,0.91,"['0', '1', '5', '2', '4', '3', '6', '8', '7', '9', '12', '11', '10', '14', '13', '17', '15', '16', '20', '19']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}",{'grp_1': 20}
RAPF,synthetic-0.2,0.2,0.2,1.1895084113765644,0.620844853331887,0.0,1.3356338308681877,0.5107281805296766,0.29000000000000004,0.45699999999999996,0.557,0.639,0.748,"['1', '5', '22', '6', '12', '8', '11', '0', '9', '2', '15', '24', '13', '14', '10', '18', '17', '42', '3', '4']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 19, 'grp_2': 1}"
BALANCED-COMMITTEE-ELECTION,synthetic-0.2,0.2,0.2,0.9918949026982464,0.620844853331887,0.0,1.3345431697346137,1.0624725887491935,0.38,0.53,0.75,0.82,0.91,"['0', '1', '5', '2', '4', '3', '6', '8', '7', '9', '12', '11', '10', '14', '13', '17', '15', '16', '28', '61']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 18, 'grp_2': 1, 'grp_3': 1}"
PREFAIR,synthetic-0.2,0.2,0.2,0.0,0.620844853331887,1.0,0.0,0.0,0.24,0.24,0.38,0.39,0.51,"['0', '92', '61', '25', '1', '93', '53', '27', '4', '77', '63', '37', '3', '91', '54', '38', '7', '98', '66', '46']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 16, 'grp_3': 1, 'grp_4': 0}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0.2,0.4,0.2,0.8858888852221218,0.2804603962746052,0.0,1.286485288800403,0.6152258839605699,0.285,0.475,0.605,0.725,0.745,"['0', '1', '4', '3', '7', '6', '2', '12', '13', '15', '16', '17', '20', '22', '23', '32', '34', '37', '42', '9']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 16, 'grp_2': 4}"
MC4,synthetic-0.2,0.4,0.2,1.0612082778324712,0.2804603962746052,0.0,1.3436374364917416,0.6582483096444607,0.2,0.35,0.37,0.44,0.69,"['2', '4', '13', '1', '14', '18', '7', '8', '0', '5', '3', '15', '10', '19', '12', '20', '37', '11', '23', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 18, 'grp_2': 2}"
BORDA,synthetic-0.2,0.4,0.2,1.386289780208865,0.2804603962746052,0.0,1.386289780208865,0.0,0.285,0.48,0.67,0.8,0.855,"['0', '1', '5', '2', '4', '3', '6', '7', '8', '9', '11', '12', '10', '13', '14', '17', '16', '20', '18', '15']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}",{'grp_1': 20}
EPIRA,synthetic-0.2,0.4,0.2,1.386289780208865,0.2804603962746052,0.0,1.386289780208865,0.0,0.285,0.48,0.67,0.8,0.855,"['0', '1', '5', '2', '4', '3', '6', '7', '8', '9', '11', '12', '10', '13', '14', '17', '16', '20', '18', '15']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}",{'grp_1': 20}
RAPF,synthetic-0.2,0.4,0.2,0.7337317003981589,0.2804603962746052,0.0,0.7416283480521312,0.1574587723212247,0.2015,0.2725,0.37050000000000005,0.46349999999999997,0.5635000000000001,"['28', '5', '2', '1', '7', '27', '43', '3', '0', '9', '29', '20', '11', '25', '14', '32', '8', '10', '33', '4']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 13, 'grp_2': 7}"
BALANCED-COMMITTEE-ELECTION,synthetic-0.2,0.4,0.2,0.7987930695600785,0.2804603962746052,0.05882352941176471,1.309207228749945,1.309207228749945,0.285,0.48,0.67,0.8,0.855,"['0', '1', '5', '2', '4', '3', '6', '7', '8', '9', '11', '12', '10', '13', '14', '17', '16', '27', '52', '76']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 17, 'grp_2': 1, 'grp_3': 1, 'grp_4': 1}"
PREFAIR,synthetic-0.2,0.4,0.2,0.0,0.2804603962746052,1.0,0.0,0.0,0.15,0.155,0.29,0.29,0.395,"['0', '91', '63', '28', '1', '81', '66', '29', '4', '93', '61', '32', '3', '85', '55', '34', '7', '75', '54', '47']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 11, 'grp_4': 1}","{'grp_1': 5, 'grp_2': 5, 'grp_3': 5, 'grp_4': 5}"
STV,synthetic-0.2,0.6,0.2,1.0612082778324712,0.14293330967859103,0.0,1.3436374364917416,0.6582483096444607,0.22666666666666666,0.3933333333333333,0.5166666666666666,0.6366666666666666,0.67,"['0', '1', '4', '3', '7', '6', '2', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '28', '29', '9']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 4}","{'grp_1': 18, 'grp_2': 2}"
MC4,synthetic-0.2,0.6,0.2,1.0612082778324712,0.14293330967859103,0.0,1.3436374364917416,0.6582483096444607,0.17666666666666664,0.31,0.35,0.45,0.6566666666666666,"['2', '4', '13', '1', '14', '18', '7', '8', '0', '5', '3', '15', '10', '19', '12', '20', '37', '11', '23', '29']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 4}","{'grp_1': 18, 'grp_2': 2}"
BORDA,synthetic-0.2,0.6,0.2,1.386289780208865,0.14293330967859103,0.0,1.386289780208865,0.0,0.22666666666666666,0.41,0.5766666666666667,0.7,0.7766666666666666,"['0', '1', '5', '2', '4', '3', '6', '7', '8', '9', '11', '12', '10', '13', '14', '17', '16', '20', '15', '18']","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 25}","{'grp_1': 25, 'grp_2': 25, 'grp_3': 25, 'grp_4': 4}",{'grp_1': 20}
